Countrycode,Country,Efindex,Govsize_subindex,Legal_subindex,Soundmoney_subindex,Trade_subindex,Regulation_subindex
ALB,Albania,7.67,7.53,5.06,9.65,8.34,7.77
DZA,Algeria,4.77,3.58,4.73,7.34,2.77,5.41
AGO,Angola,4.83,6.76,2.95,5.57,3.21,5.66
ARG,Argentina,5.67,5.71,3.98,6.47,6.55,5.65
ARM,Armenia,7.70,7.40,5.86,9.48,8.20,7.54
AUS,Australia,8.07,6.96,7.92,9.46,7.56,8.47
AUT,Austria,7.71,5.66,7.93,9.42,8.09,7.45
AZE,Azerbaijan,6.34,4.84,5.49,6.85,7.29,7.22
BHS,Bahamas,7.25,8.10,6.52,6.88,6.54,8.22
BHR,Bahrain,7.35,6.97,5.22,9.36,7.42,7.81
BGD,Bangladesh,6.18,8.15,3.14,6.98,5.95,6.67
BRD,Barbados,6.45,6.27,5.88,6.16,6.96,6.99
BLR,Belarus,6.64,6.12,5.33,7.44,6.78,7.50
BEL,Belgium,7.51,4.86,7.07,9.48,8.16,7.99
BLZ,Belize,6.78,6.89,5.21,7.19,6.53,8.08
BEN,Benin,6.08,7.06,4.18,6.69,6.08,6.40
BTN,Bhutan,6.77,6.91,6.41,6.82,6.28,7.46
BOL,Bolivia,6.14,5.89,3.48,9.34,7.03,4.93
BIH,Bosnia and Herzegovina,6.69,5.63,4.19,8.31,7.84,7.50
BWA,Botswana,7.37,6.37,5.88,9.26,7.44,7.90
BRA,Brazil,6.23,5.65,4.53,9.42,7.13,4.41
BRN,Brunei Darussalam,6.62,3.33,5.31,8.77,7.16,8.52
BGR,Bulgaria,7.54,7.13,5.28,9.43,8.11,7.74
BFA,Burkina Faso,6.07,5.73,4.26,6.97,6.49,6.87
BDI,Burundi,6.17,6.92,3.53,8.24,5.88,6.27
KHM,Cambodia,7.44,9.08,4.43,9.33,7.34,7.05
CMR,Cameroon,5.84,6.95,3.20,7.32,5.15,6.57
CAN,Canada,8.08,6.48,7.85,9.55,7.91,8.61
CPV,Cape Verde,7.16,7.18,6.04,8.33,7.18,7.09
CAF,Central African Republic,5.23,6.50,2.73,6.67,4.69,5.54
TCD,Chad,5.42,7.43,2.72,6.83,5.17,4.96
CHL,Chile,7.89,8.17,6.44,9.53,8.34,6.97
CHN,China,6.42,4.67,5.58,8.50,6.81,6.55
COL,Colombia,6.68,7.24,3.94,8.19,6.68,7.34
COD,"Congo, Dem. Rep.",5.00,6.93,3.11,4.37,5.56,5.05
COG,"Congo, Rep. of",5.08,5.61,3.10,5.74,5.39,5.56
CRI,Costa Rica,7.41,7.04,5.82,9.76,7.96,6.46
CIV,Cote d'Ivoire,5.97,5.93,4.21,7.12,5.92,6.67
HRV,Croatia,7.26,5.72,5.58,9.55,8.18,7.29
CYP,Cyprus,7.68,6.92,6.13,9.36,8.27,7.72
CZE,Czech Rep.,7.75,6.66,6.40,9.28,8.22,8.19
DNK,Denmark,7.89,4.71,8.08,9.84,8.47,8.37
DOM,Dominican Republic,6.92,6.43,4.11,9.51,7.94,6.63
ECU,Ecuador,6.28,6.52,4.00,8.33,6.52,6.04
EGY,Egypt,5.05,4.86,4.04,5.77,5.81,4.78
SLV,El Salvador,7.16,8.41,3.57,9.85,7.63,6.33
EST,Estonia,7.89,6.19,7.40,9.27,8.42,8.20
ETH,Ethiopia,5.72,5.58,4.66,6.49,5.13,6.72
FJI,Fiji,6.74,5.97,5.34,7.01,6.43,8.94
FIN,Finland,7.80,4.71,8.78,9.41,8.22,7.89
FRA,France,7.35,4.82,6.99,9.48,8.16,7.32
GAB,Gabon,5.88,6.29,4.21,6.12,5.91,6.85
GMB,"Gambia, The",7.23,7.23,5.43,9.22,7.19,7.06
GEO,Georgia,7.94,7.58,6.34,8.89,8.74,8.15
DEU,Germany,7.82,6.17,7.42,9.46,8.04,8.00
GHA,Ghana,6.58,8.01,5.23,5.88,6.59,7.18
GRC,Greece,6.59,4.39,5.73,7.98,7.68,7.17
GTM,Guatemala,7.57,9.44,4.33,9.55,8.03,6.50
GIN,Guinea,5.86,5.40,3.24,7.78,5.93,6.94
GNB,Guinea-Bissau,5.23,5.04,2.85,6.27,6.16,5.85
GUY,Guyana,6.32,5.72,4.80,8.37,6.29,6.41
HTI,Haiti,6.49,8.50,2.50,7.08,7.47,6.86
HND,Honduras,7.16,8.84,3.70,9.12,7.22,6.91
HKG,Hong Kong,8.91,8.19,7.93,9.63,9.33,9.44
HUN,Hungary,7.27,5.39,5.96,9.74,7.97,7.29
ISL,Iceland,7.74,5.81,8.38,9.53,7.28,7.68
IND,India,6.91,8.22,5.17,8.37,6.08,6.69
IDN,Indonesia,7.27,8.31,4.94,9.68,6.95,6.47
IRN,Iran,5.72,5.46,4.58,8.01,4.93,5.60
IRQ,Iraq,5.21,5.04,2.78,7.14,5.54,5.52
IRL,Ireland,8.13,6.72,7.51,9.47,8.56,8.39
ISR,Israel,7.53,6.47,6.20,9.38,8.22,7.39
ITA,Italy,7.41,6.12,5.78,9.40,8.24,7.54
JAM,Jamaica,7.17,7.46,5.07,8.49,6.84,7.98
JPN,Japan,7.86,5.73,7.62,9.52,8.18,8.25
JOR,Jordan,7.44,7.55,4.81,9.49,7.54,7.79
KAZ,Kazakhstan,7.10,7.02,5.30,8.89,6.62,7.70
KEN,Kenya,7.05,7.43,5.20,9.23,6.70,6.70
KOR,"Korea, South",7.59,7.04,6.47,9.60,7.59,7.26
KWT,Kuwait,6.41,5.22,4.98,8.35,6.76,6.72
KGZ,Kyrgyz Republic,6.92,7.03,4.26,9.27,7.36,6.68
LAO,Laos,6.67,6.27,5.61,7.38,7.54,6.53
LVA,Latvia,7.73,6.78,6.29,9.28,8.36,7.94
LBN,Lebanon,6.97,8.36,3.84,9.56,6.75,6.36
LSO,Lesotho,6.50,5.56,5.35,7.73,6.45,7.40
LBR,Liberia,6.56,7.19,4.22,9.03,6.20,6.17
