Country,Countrycode,GDPPCint_2014,GDPPCint_2016,GDPPCint_2018,GDPPCus_2014,GDPPCus_2016,GDPPCus_2018
Aruba,ABW,36172.93335,35557.65686,,24697.49403,24277.40679,
Afghanistan,AFG,1795.735834,1757.02349,1734.723214,583.6561928,571.0737745,563.8256627
Angola,AGO,6813.052106,6258.376628,5725.327238,3843.198241,3530.309423,3229.61974
Albania,ALB,10700.99322,11352.10142,12316.0715,4413.309627,4681.840039,5079.40112
Andorra,AND,,,,40790.19801,42949.66624,44569.78301
Arab World,ARB,15286.72682,15685.81108,15590.39835,6354.798378,6515.610951,6452.473304
United Arab Emirates,ARE,62879.70302,67045.10429,66616.05028,38495.04635,41045.11112,40782.44362
Argentina,ARG,18935.0025,18645.09185,18288.2446,10398.69401,10239.48135,10043.50855
Armenia,ARM,7954.195331,8158.634794,9177.744159,3819.217787,3917.379676,4406.706434
American Samoa,ASM,,,,9717.829056,9589.979837,9271.71201
Antigua and Barbuda,ATG,20440.54056,21923.79604,23840.7299,12976.33146,13917.95112,15134.88416
Australia,AUS,43651.10313,44488.74083,45377.75514,54679.42018,55728.68446,56842.30551
Austria,AUT,44246.89327,44632.7261,46260.38238,47842.74891,48259.9376,50019.87021
Azerbaijan,AZE,16853.56847,16131.97213,16010.98904,6072.58604,5812.584374,5768.992405
Burundi,BDI,768.4698369,689.0148917,660.330341,245.3267387,219.9614978,210.8042258
Belgium,BEL,41447.18738,42465.18751,43582.1284,44855.95787,45957.68211,47166.48436
Benin,BEN,2001.052,2009.661019,2151.54317,834.4435964,838.0335784,897.1987833
Burkina Faso,BFA,1582.330098,1642.039196,1761.234757,639.7080956,663.8474288,712.0360878
Bangladesh,BGD,3067.032884,3424.01066,3879.161524,951.314821,1062.040158,1203.216265
Bulgaria,BGR,16324.33748,17792.67814,19320.75123,7309.415115,7966.882009,8651.094801
Bahrain,BHR,43846.56855,43731.98342,41973.11293,22395.30603,22336.77993,21438.4099
"Bahamas, The",BHS,28847.02358,28586.02995,28472.20046,27620.09553,27370.20254,27261.21448
Bosnia and Herzegovina,BIH,10783.42355,11790.63456,12711.83977,5117.140156,5595.09967,6032.246199
Belarus,BLR,17933.34272,16763.03611,17741.86223,6817.289219,6372.401795,6744.49867
Belize,BLZ,7740.681033,7634.449617,7673.653587,4286.113,4227.291321,4248.999055
Bermuda,BMU,,,,,,
Bolivia,BOL,6239.548296,6620.438018,6986.046487,2286.013198,2425.56159,2559.511317
Brazil,BRA,15480.86796,14200.31477,14282.71701,11951.21238,10962.62678,11026.24121
Barbados,BRB,15956.84336,16623.6782,16463.51743,15525.07683,16173.8682,16018.04113
Brunei Darussalam,BRN,76448.59333,72369.52337,71802.27172,33471.14645,31685.22545,31436.8682
Bhutan,BTN,7770.022409,8744.853237,9207.693968,2639.600883,2970.766506,3128.000905
Botswana,BWA,16175.23945,16037.20896,16518.23341,7864.253281,7797.144122,8031.013803
Central African Republic,CAF,672.6816483,723.2866499,763.0411996,334.1145508,359.2495719,378.9952771
Canada,CAN,43149.57642,43110.70122,44078.0656,50309.1599,50263.83433,51391.70842
Switzerland,CHE,57218.02323,57678.86559,59317.32399,76410.87777,77026.30219,79214.35479
Channel Islands,CHI,,,,,,
Chile,CHL,22013.85111,22331.22608,22873.80701,14561.32616,14771.25765,15130.15432
China,CHN,12725.0891,14368.6308,16181.77772,6096.487817,6883.895425,7752.559525
Cote d'Ivoire,CIV,3038.844827,3395.088932,3733.04767,1377.796563,1539.315802,1692.54455
Cameroon,CMR,3134.080704,3284.863824,3358.590924,1400.387017,1467.760752,1500.703897
"Congo, Dem. Rep.",COD,784.8726559,804.5229778,827.1382532,397.3416705,407.2896431,418.7386231
"Congo, Rep.",COG,5694.862421,5403.536008,5024.082686,3005.736912,2851.975419,2651.700719
Colombia,COL,12887.59928,13207.46827,13321.32785,7441.310334,7626.002946,7691.745564
Comoros,COM,2525.726109,2518.653714,2585.117414,1369.176631,1365.34274,1401.372199
Cabo Verde,CPV,6021.628363,6214.080234,6614.167088,3422.748802,3532.140211,3759.553249
Costa Rica,CRI,14259.04652,15077.4901,15679.98056,8993.526002,9509.738189,9889.743515
Cuba,CUB,,,,6255.426161,6550.274373,6816.896809
Curacao,CUW,26442.68217,25637.31065,24617.08176,,,
Cayman Islands,CYM,62929.87312,64881.36475,,72741.43011,74997.18378,
Cyprus,CYP,29912.19003,32002.23422,,27182.50243,29081.8161,30926.45172
Czech Republic,CZE,29119.61661,31295.25952,33435.50918,20343.68375,21863.64165,23358.87295
Germany,DEU,43474.67516,44467.21879,45936.18271,44933.72041,45959.57461,47477.83815
Djibouti,DJI,,,,,,
Dominica,DMA,10461.62133,10407.83723,9875.788887,7091.455439,7054.997651,6694.346371
Denmark,DNK,45057.08345,46906.75361,48419.43788,59437.94732,61877.97648,63873.46401
Dominican Republic,DOM,12892.32524,14374.5065,15748.38431,6301.697662,7026.179709,7697.723623
Algeria,DZA,13557.76976,13926.91049,13737.35606,4702.0917,4830.116707,4764.375636
Ecuador,ECU,10868.11941,10394.06076,10412.19927,5412.131646,5176.058803,5185.091461
"Egypt, Arab Rep.",EGY,10032.48205,10460.90642,11013.73549,2648.294169,2761.386198,2907.317585
Eritrea,ERI,,,,,,
Spain,ESP,31076.86172,33244.9531,34830.54444,29398.61031,31449.61772,32949.58198
Estonia,EST,26930.87998,28122.86793,31035.39362,17315.14315,18081.52887,19954.13011
Ethiopia,ETH,1413.962518,1617.322669,1794.290806,449.4203771,514.0573068,570.3056768
Finland,FIN,39301.05876,40310.59366,42060.80412,45550.49814,46720.56375,48749.08311
Fiji,FJI,8405.905166,8957.280871,9653.618373,4175.424039,4449.306188,4795.194499
France,FRA,37575.81182,38097.87704,39555.54466,41478.24697,42054.53126,43663.58492
Faroe Islands,FRO,,,,,,
"Micronesia, Fed. Sts.",FSM,3042.70092,3131.290646,3152.715404,2633.409075,2710.082069,2728.624855
Gabon,GAB,16606.91902,16523.58578,15861.58536,9467.363786,9419.856712,9042.459867
United Kingdom,GBR,38693.89326,39760.49425,40522.24661,41369.79848,42510.16106,43324.59297
Georgia,GEO,9179.19,9707.630682,10651.94209,4068.52909,4302.751967,4721.302887
Ghana,GHA,3791.280251,3830.497662,4211.845783,1626.622783,1643.448744,1807.063539
Gibraltar,GIB,,,,,,
Guinea,GIN,1836.532318,2007.370105,2222.630126,741.0381352,809.9709354,896.8280428
"Gambia, The",GMB,2203.733684,2201.652888,2317.690217,747.7087319,747.0027351,786.3732473
Guinea-Bissau,GNB,1425.770644,1526.8088,1596.35546,555.6050487,594.9783587,622.0798254
Equatorial Guinea,GNQ,31743.41075,24296.60358,20181.13296,16130.33637,12346.25956,10254.99325
Greece,GRC,24081.63053,24188.99492,25140.70314,22565.68048,22666.28623,23558.08397
Grenada,GRD,11757.59609,12822.65745,13804.57741,7747.500731,8449.307769,9096.329959
Greenland,GRL,,,,46378.38303,47413.62248,49310.00671
Guatemala,GTM,7147.563077,7368.339087,7508.864463,3007.920435,3100.829958,3159.967477
Guam,GUM,,,,32169.56444,32027.5816,31477.26691
Guyana,GUY,6910.679656,7285.100673,7667.13049,3598.347104,3793.305755,3992.226259
"Hong Kong SAR, China",HKG,52789.43908,54420.07622,57318.05783,35717.69137,36820.99148,38781.78543
Honduras,HND,4162.166942,4337.583585,4559.736508,2025.814195,2111.193164,2219.319665
Croatia,HRV,20347.89784,21900.81435,23664.14523,13662.86566,14705.59203,15889.60391
Haiti,HTI,1656.315765,1655.294377,1656.293904,730.3063521,729.8559997,730.296713
Hungary,HUN,24220.73394,25842.87059,28464.5602,14165.70826,15114.42909,16647.7472
Indonesia,IDN,10003.17184,10748.2888,11605.85533,3692.973446,3968.055911,4284.652535
Isle of Man,IMN,,,,81902.30986,87381.78686,
India,IND,5377.889179,6145.294538,6888.188468,1640.1807,1874.228561,2100.80078
Ireland,IRL,48638.33593,61820.57156,70855.32724,52774.50118,67077.74361,76880.8077
"Iran, Islamic Rep.",IRN,17130.73203,18663.53672,,6236.289411,6794.293215,
Iraq,IRQ,15094.5705,16751.41545,15471.24529,5344.331964,5930.948815,5477.696148
Iceland,ISL,42774.88885,46819.4337,48605.57707,45852.91345,50188.49842,52103.1703
Israel,ISR,31899.0529,32617.55494,33609.02306,32977.96087,33720.7645,34745.76662
Italy,ITA,34043.56211,34840.20313,35828.48628,33666.69191,34454.51392,35431.85655
Jamaica,JAM,8019.18141,8116.702743,8275.769452,4704.725955,4761.940167,4855.262071
Jordan,JOR,8634.535737,8422.033348,8410.856072,3353.623382,3271.0882,3266.746985
Japan,JPN,37337.31741,38108.40569,39293.69158,46484.15527,47444.14356,48919.79894
Kazakhstan,KAZ,23587.33752,23447.0157,24738.36283,10646.03446,10582.70087,11165.54436
Kenya,KEN,2713.300271,2891.487154,3076.844818,1060.095016,1129.713196,1202.133023
Kyrgyz Republic,KGZ,3176.902804,3304.562686,3446.99394,1002.01558,1042.280328,1087.204062
Cambodia,KHM,3123.559819,3466.78569,3869.489181,972.7427283,1079.630539,1205.040941
Kiribati,KIR,1814.758995,2047.723756,2035.449728,1571.230363,1772.932796,1762.305861
St. Kitts and Nevis,KNA,26412.94951,26987.89632,26804.08621,16695.43178,17058.85144,16942.66642
"Korea, Rep.",KOR,33425.68959,35020.41151,36776.51928,24323.57284,25484.03759,26761.94138
Kuwait,KWT,72588.67068,70104.56503,64683.72998,37158.7342,35887.1002,33112.13041
Lao PDR,LAO,5384.605721,5995.617333,6601.332345,1456.467655,1621.738558,1785.576798
Lebanon,LBN,12349.03599,11756.97332,11607.17582,6649.213772,6330.423607,6249.766655
Liberia,LBR,1257.625441,1176.188045,1161.177916,586.2293608,548.2681436,541.2713241
Libya,LBY,15965.49175,13860.37001,18424.53359,6530.856715,5669.733946,7536.754323
St. Lucia,LCA,11750.78778,12032.28486,12317.26958,8095.026788,8288.947946,8485.271714
