Country,Countrycode,BiocapPerCap_1996,BiocapPerCap_1986,BiocapPerCap_1971,TEF_Consumption,Total_Biocapacity,Overshoot,GDPPCint_2014,GDPPCint_2016,GDPPCint_2018,GDPPCus_2014,GDPPCus_2016,GDPPCus_2018,Percenturbanpop_2018,Percenturbanpop_2016,Percenturbanpop_2014,GenderGapIndex_2018,GGGeconomicsub_2018,GGGeducationsub_2018,GGGhealthsub_2018,GGGpoliticalsub_2018,Efindex,Govsize_subindex,Legal_subindex,Soundmoney_subindex,Trade_subindex,Regulation_subindex
Afghanistan,AFG,0.640589225,0.936478415,0.988136739,0.7,0.4,-0.3,1795.735834,1757.02349,1734.723214,583.6561928,571.0737745,563.8256627,25.495,25.02,24.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,0.83711866,1.076483867,1.334947242,2,1,-0.98,10700.99322,11352.10142,12316.0715,4413.309627,4681.840039,5079.40112,60.319,58.421,56.423,0.734,0.701,0.987,0.963,0.284,7.67,7.53,5.06,9.65,8.34,7.77
Algeria,DZA,0.685933968,0.69304779,1.159316977,2.4,0.5,-1.88,13557.76976,13926.91049,13737.35606,4702.0917,4830.116707,4764.375636,72.629,71.459,70.221,0.629,0.452,0.957,0.962,0.145,4.77,3.58,4.73,7.34,2.77,5.41
American Samoa,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9717.829056,9589.979837,9271.71201,87.153,87.198,87.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,40790.19801,42949.66624,44569.78301,88.062,88.248,88.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,3.487204384,4.642160295,7.635646755,1,1.9,0.93,6813.052106,6258.376628,5725.327238,3843.198241,3530.309423,3229.61974,65.514,64.149,62.731,0.633,0.602,0.745,0.98,0.206,4.83,6.76,2.95,5.57,3.21,5.66
Antigua and Barbuda,ATG,1.127963384,1.240073243,NA,4.3,0.8,-3.49,20440.54056,21923.79604,23840.7299,12976.33146,13917.95112,15134.88416,24.599,24.846,25.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,ARG,6.53101244,7.234413273,8.616715447,3.4,6.8,3.47,18935.0025,18645.09185,18288.2446,10398.69401,10239.48135,10043.50855,91.87,91.627,91.377,0.733,0.599,0.995,0.98,0.356,5.67,5.71,3.98,6.47,6.55,5.65
Armenia,ARM,0.502208436,NA,NA,1.9,0.8,-1.14,7954.195331,8158.634794,9177.744159,3819.217787,3917.379676,4406.706434,63.149,63.082,63.112,0.678,0.675,1,0.939,0.099,7.7,7.4,5.86,9.48,8.2,7.54
Aruba,ABW,0.715000648,0.950474753,NA,6.5,0.6,-5.95,36172.93335,35557.65686,NA,24697.49403,24277.40679,NA,43.411,43.192,43.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,AUS,18.38064796,19.86721643,23.94443264,6.6,12.3,5.63,43651.10313,44488.74083,45377.75514,54679.42018,55728.68446,56842.30551,86.012,85.8,85.602,0.73,0.718,1,0.971,0.232,8.07,6.96,7.92,9.46,7.56,8.47
Austria,AUT,3.167051879,3.333496298,3.237618137,6,2.9,-3.12,44246.89327,44632.7261,46260.38238,47842.74891,48259.9376,50019.87021,58.297,57.905,57.526,0.718,0.658,1,0.974,0.242,7.71,5.66,7.93,9.42,8.09,7.45
Azerbaijan,AZE,0.633455425,NA,NA,2.1,0.8,-1.31,16853.56847,16131.97213,16010.98904,6072.58604,5812.584374,5768.992405,55.68,55.021,54.422,0.68,0.716,1,0.941,0.063,6.34,4.84,5.49,6.85,7.29,7.22
Bahamas,BHS,12.65583568,15.00820385,20.95647559,3.7,9.2,5.44,28847.02358,28586.02995,28472.20046,27620.09553,27370.20254,27261.21448,83.025,82.832,82.668,0.741,0.863,1,0.98,0.122,7.25,8.1,6.52,6.88,6.54,8.22
Bahrain,BHR,1.158124061,1.516906721,NA,8.6,0.5,-8.11,43846.56855,43731.98342,41973.11293,22395.30603,22336.77993,21438.4099,89.287,89.09,88.915,0.627,0.515,0.998,0.958,0.037,7.35,6.97,5.22,9.36,7.42,7.81
Bangladesh,BGD,0.340567595,0.396168625,0.432113939,0.8,0.4,-0.44,3067.032884,3424.01066,3879.161524,951.314821,1062.040158,1203.216265,36.632,35.083,33.535,0.721,0.441,0.95,0.969,0.526,6.18,8.15,3.14,6.98,5.95,6.67
Barbados,BRB,0.228911345,0.30634936,0.382738991,3.8,0.2,-3.64,15956.84336,16623.6782,16463.51743,15525.07683,16173.8682,16018.04113,31.147,31.193,31.328,0.753,0.871,1,0.976,0.166,6.45,6.27,5.88,6.16,6.96,6.99
Belarus,BLR,2.754698526,NA,NA,4,3.1,-0.93,17933.34272,16763.03611,17741.86223,6817.289219,6372.401795,6744.49867,78.595,77.661,76.693,0.747,0.838,0.998,0.979,0.173,6.64,6.12,5.33,7.44,6.78,7.5
