country,year,country_code,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,QScore
Afghanistan,1986,2,BiocapPerCap,0.347168932,0.513846372,0.052990538,0,0.022472572,0,0.936478415,3A
Albania,1986,3,BiocapPerCap,0.479516781,0.174495685,0.314099294,0.078374492,0.029997615,0,1.076483867,3A
Algeria,1986,4,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.69304779,2A
Angola,1986,7,BiocapPerCap,0.106648609,2.748831761,1.271565836,0.50238332,0.01273077,0,4.642160295,3A
Antigua and Barbuda,1986,8,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.240073243,2B
Argentina,1986,9,BiocapPerCap,1.510751021,2.307441752,1.089725451,2.262788115,0.063706934,0,7.234413273,3A
Australia,1986,10,BiocapPerCap,2.156767538,9.984018701,3.014130584,4.672620345,0.039679267,0,19.86721643,3A
Austria,1986,11,BiocapPerCap,0.756094251,0.180600994,2.246627041,0.00329964,0.146874372,0,3.333496298,3A
Bahamas,1986,12,BiocapPerCap,0.045111515,0.00385284,1.843716449,13.08655247,0.028970569,0,15.00820385,3A
Bahrain,1986,13,BiocapPerCap,0.020691743,0,0.000680342,1.429067586,0.066467051,0,1.516906721,3A
Barbados,1986,14,BiocapPerCap,0.173626031,0.003588642,0.021007606,0.048852994,0.059274087,0,0.30634936,3A
Bangladesh,1986,16,BiocapPerCap,0.254937888,0.005480006,0.007861452,0.088121022,0.039768258,0,0.396168625,3A
Bermuda,1986,17,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.139779049,2B
Bhutan,1986,18,BiocapPerCap,0.463959568,0.365886279,5.875238596,0.021253709,0.178703083,0,6.905041235,3A
Bolivia,1986,19,BiocapPerCap,0.282808079,3.665697093,25.95257457,0.089338275,0.034634555,0,30.02505257,3A
Botswana,1986,20,BiocapPerCap,0.086644861,4.130860028,1.270032754,0.453077867,0.014169641,0,5.954785152,3A
Brazil,1986,21,BiocapPerCap,0.65517036,1.321492866,10.7849379,0.248191787,0.057382338,0,13.06717525,3A
Aruba,1986,22,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.950474753,2B
Brunei Darussalam,1986,26,BiocapPerCap,0.018947211,0.029272634,3.000053575,2.257411422,0.02307562,0,5.328760462,3A
