Country,BiocapPerCap_1986
Afghanistan,0.936478415
Albania,1.076483867
Algeria,0.69304779
Angola,4.642160295
Antigua and Barbuda,1.240073243
Argentina,7.234413273
Australia,19.86721643
Austria,3.333496298
Bahamas,15.00820385
Bahrain,1.516906721
Barbados,0.30634936
Bangladesh,0.396168625
Bermuda,0.139779049
Bhutan,6.905041235
Bolivia,30.02505257
Botswana,5.954785152
Brazil,13.06717525
Aruba,0.950474753
Brunei Darussalam,5.328760462
Bulgaria,2.449469231
Myanmar,1.928472088
Burundi,0.793194868
Cameroon,3.26683821
Canada,20.2362909
Cabo Verde,0.904381311
Central African Republic,13.20491277
Sri Lanka,0.554374224
Chad,4.506555677
Chile,4.351822104
Colombia,5.762768901
Comoros,0.502813269
Congo,21.85180061
Costa Rica,2.692529804
Cuba,0.906051833
Cyprus,0.590952808
Czechoslovakia,2.412009144
Benin,1.564171405
Denmark,4.882177243
Dominica,1.213635816
Dominican Republic,0.73159932
Ecuador,3.777047321
Egypt,0.380702269
El Salvador,0.787015035
Equatorial Guinea,9.632711442
Ethiopia PDR,1.065883991
Fiji,2.981844821
Finland,14.03876366
France,2.731286409
French Polynesia,1.476029558
Djibouti,1.0491672
Gabon,49.87224171
Gambia,1.943215437
Germany,1.609096085
Ghana,1.566507304
Greece,1.779254314
Guadeloupe,0.643110388
Guatemala,1.55541537
Guinea,4.312178742
Guyana,69.57802166
Haiti,0.396266926
Honduras,3.790707814
Hungary,2.472278692
India,0.433294766
Indonesia,1.630700732
"Iran, Islamic Republic of",1.009890123
Iraq,0.402980423
Ireland,4.192655061
Israel,0.446563193
Italy,1.097812763
Côte d'Ivoire,2.963332645
Jamaica,0.484185069
Japan,0.711285892
Jordan,0.21513498
Kenya,0.960177172
Cambodia,1.152142543
"Korea, Democratic People's Republic of",0.998739311
"Korea, Republic of",0.897616075
Lao People's Democratic Republic,2.076457429
Lebanon,0.41108562
Lesotho,1.131478932
Liberia,5.358065693
Libyan Arab Jamahiriya,1.021043978
Madagascar,5.286344424
Malawi,0.724422314
Malaysia,3.873061017
Mali,2.294214838
Malta,0.697359354
Martinique,0.506703383
Mauritania,9.430478198
Mauritius,0.975718713
Mexico,1.807945245
Mongolia,24.45576827
Morocco,1.035197388
Mozambique,3.775645651
Nepal,0.527517204
Netherlands,0.98315702
New Zealand,14.07249932
Nicaragua,3.773324241
Niger,1.714777932
Nigeria,0.727938377
Norway,9.162580045
Pakistan,0.49224284
Panama,5.479482905
Papua New Guinea,6.918115995
Paraguay,19.62298469
Peru,5.63820024
Philippines,0.705832512
Poland,2.106321259
Portugal,1.417380742
Guinea-Bissau,5.054161133
Timor-Leste,3.094321896
Qatar,6.19767061
Zimbabwe,1.16264233
Réunion,0.265315575
Romania,2.322578895
Rwanda,0.690384259
Saint Lucia,0.755548516
Sao Tome and Principe,1.63687572
Saudi Arabia,0.949054968
Senegal,2.270764911
Sierra Leone,1.544497126
Singapore,0.046100449
Somalia,1.928509207
South Africa,1.545576712
Spain,1.429632407
Sudan (former),3.377688061
Eswatini,1.581467321
Sweden,11.59625358
Switzerland,1.276399876
Syrian Arab Republic,0.92083838
"Tanzania, United Republic of",1.644889912
Thailand,1.089051614
Togo,0.762545695
Tonga,1.482963372
Trinidad and Tobago,1.843923251
Oman,3.681558945
Tunisia,0.874868411
Turkey,2.104047782
United Arab Emirates,3.266024579
Uganda,1.039403374
USSR,4.375858318
United Kingdom,1.345645016
United States of America,4.248326922
Burkina Faso,1.581776429
Uruguay,9.640343657
"Venezuela, Bolivarian Republic of",4.491221371
Viet Nam,0.735751455
Samoa,2.000579234
Yugoslav SFR,1.962738547
Yemen,1.007636841
"Congo, Democratic Republic of",6.781784353
Zambia,3.853650035
Belgium,0.923439466
Luxembourg,1.938990554
China,0.854779003
