Country,Countrycode,Percenturbanpop_2018,Percenturbanpop_2016,Percenturbanpop_2014
Aruba,ABW,43.411,43.192,43.041
Afghanistan,AFG,25.495,25.02,24.587
Angola,AGO,65.514,64.149,62.731
Albania,ALB,60.319,58.421,56.423
Andorra,AND,88.062,88.248,88.441
Arab World,ARB,58.92541859,58.34527528,57.69248024
United Arab Emirates,ARE,86.522,85.965,85.375
Argentina,ARG,91.87,91.627,91.377
Armenia,ARM,63.149,63.082,63.112
American Samoa,ASM,87.153,87.198,87.288
Antigua and Barbuda,ATG,24.599,24.846,25.175
Australia,AUS,86.012,85.8,85.602
Austria,AUT,58.297,57.905,57.526
Azerbaijan,AZE,55.68,55.021,54.422
Burundi,BDI,13.032,12.388,11.776
Belgium,BEL,98.001,97.919,97.833
Benin,BEN,47.312,46.229,45.166
Burkina Faso,BFA,29.358,28.134,26.934
Bangladesh,BGD,36.632,35.083,33.535
Bulgaria,BGR,75.008,74.329,73.651
Bahrain,BHR,89.287,89.09,88.915
"Bahamas, The",BHS,83.025,82.832,82.668
Bosnia and Herzegovina,BIH,48.245,47.518,46.84
Belarus,BLR,78.595,77.661,76.693
Belize,BLZ,45.724,45.495,45.335
Bermuda,BMU,100,100,100
Bolivia,BOL,69.425,68.738,68.047
Brazil,BRA,86.569,86.042,85.492
Barbados,BRB,31.147,31.193,31.328
Brunei Darussalam,BRN,77.629,76.99,76.332
Bhutan,BTN,40.895,39.428,37.918
Botswana,BWA,69.446,67.933,66.368
Central African Republic,CAF,41.364,40.618,39.959
Canada,CAN,81.411,81.3,81.218
Central Europe and the Baltics,CEB,62.33207606,62.18447909,62.11364514
Switzerland,CHE,73.797,73.739,73.696
Channel Islands,CHI,30.914,30.93,30.995
Chile,CHL,87.564,87.422,87.303
China,CHN,59.152,56.736,54.259
Cote d'Ivoire,CIV,50.779,49.881,49.014
Cameroon,CMR,56.374,55.179,53.976
"Congo, Dem. Rep.",COD,44.46,43.307,42.18
"Congo, Rep.",COG,66.916,66.001,65.085
Colombia,COL,80.778,80.108,79.415
Comoros,COM,28.965,28.619,28.338
Cabo Verde,CPV,65.732,64.784,63.81
Costa Rica,CRI,79.34,77.735,75.941
Caribbean small states,CSS,51.19936158,50.90639259,50.68013618
Cuba,CUB,77.037,76.93,76.861
Curacao,CUW,89.145,89.272,89.443
Cayman Islands,CYM,100,100,100
Cyprus,CYP,66.81,66.881,67.031
